Tiempo, Curados, Enfermos, Muertos, Sanos
1,0,0,0,1
2,0,0,0,1
3,0,0,0,1
4,0,0,0,1
5,0,0,0,1
6,0,0,0,1
7,0,0,0,1
8,0,0,0,1
9,0,0,0,1
10,0,0,0,1
11,0,0,0,1
12,0,0,0,1
13,0,0,0,1
14,0,0,0,1
15,0,1,0,0
16,0,1,0,0
17,0,1,0,0
18,0,1,0,0
19,0,1,0,0
20,0,1,0,0
21,0,1,0,0
22,0,1,0,0
23,0,1,0,0
24,0,1,0,0
25,0,0,0,1
26,0,0,0,1
27,0,0,0,1
28,0,0,0,1
29,0,0,0,1
30,0,0,0,1
31,0,0,0,1
32,0,0,0,1
33,0,0,0,1
34,1,0,0,0
35,1,0,0,0
36,1,0,0,0
37,1,0,0,0
38,1,0,0,0
39,1,0,0,0
40,1,0,0,0
41,1,0,0,0
42,1,0,0,0
43,0,0,1,0
44,1,0,0,0
